"Date","GMT","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees"
2011-01-01,"2011-1-1",7,6,4,5,3,1,93,85,76,1027,1025,1023,10,9,3,14,10,NA,0,7,"Rain",312
2011-01-02,"2011-1-2",4,3,2,1,0,-1,87,81,75,1029,1028,1027,10,10,10,11,8,NA,0,7,"",321
2011-01-03,"2011-1-3",4,2,1,0,-2,-5,87,74,56,1028,1024,1019,10,10,10,8,5,NA,0,6,"Rain-Snow",249
2011-01-04,"2011-1-4",6,3,1,3,1,-1,93,83,65,1019,1013,1008,10,10,10,21,6,NA,0,5,"Rain",224
2011-01-05,"2011-1-5",8,7,5,6,3,0,93,80,61,1008,1000,994,10,9,4,26,16,45,0,4,"Rain",200
2011-01-06,"2011-1-6",7,4,3,6,3,1,93,90,87,1002,996,993,10,9,5,13,6,NA,0,5,"Rain",281
2011-01-07,"2011-1-7",11,6,2,9,5,2,100,91,82,1003,999,996,10,7,2,24,11,NA,0,5,"Rain-Snow",124
2011-01-08,"2011-1-8",11,7,4,8,4,-1,87,77,65,1004,997,987,10,10,5,39,23,50,0,5,"Rain",230
2011-01-09,"2011-1-9",7,4,3,1,0,-1,87,74,57,1018,1012,1004,10,10,10,24,16,NA,0,NA,"",242
2011-01-10,"2011-1-10",8,6,3,5,3,0,87,80,71,1018,1012,1002,10,10,7,26,13,45,0,3,"Rain",174
2011-01-11,"2011-1-11",8,7,5,6,3,1,93,82,70,1017,1006,997,10,10,8,32,16,NA,0,6,"Rain",261
2011-01-12,"2011-1-12",13,9,5,11,8,1,94,88,76,1016,1011,1009,10,10,6,24,14,NA,0,6,"Rain",226
2011-01-13,"2011-1-13",14,12,11,11,11,10,94,87,82,1010,1009,1008,10,10,4,27,21,45,0,6,"Rain",233
2011-01-14,"2011-1-14",12,10,9,10,8,6,94,85,77,1015,1010,1008,10,10,8,29,23,48,0,5,"Rain",233
2011-01-15,"2011-1-15",11,9,8,7,7,6,87,78,71,1017,1015,1014,10,10,10,34,21,60,0,5,"",216
2011-01-16,"2011-1-16",13,11,10,9,8,7,94,82,67,1019,1017,1016,10,10,3,29,23,52,0,5,"Rain",211
2011-01-17,"2011-1-17",10,8,6,9,6,4,100,89,81,1021,1019,1016,10,9,3,14,6,NA,0,6,"Rain",48
2011-01-18,"2011-1-18",7,6,4,5,3,1,93,84,71,1033,1027,1020,10,10,7,19,11,NA,0,4,"Rain",324
2011-01-19,"2011-1-19",7,4,2,3,2,0,93,85,76,1035,1034,1034,10,9,7,11,8,NA,0,3,"",277
2011-01-20,"2011-1-20",6,4,4,3,2,1,87,84,76,1038,1036,1034,10,10,6,13,10,NA,0,6,"Rain",350
2011-01-21,"2011-1-21",4,2,1,3,0,-2,93,83,65,1040,1039,1038,10,9,5,14,8,NA,0,5,"Rain",338
2011-01-22,"2011-1-22",7,3,1,4,2,0,93,86,76,1040,1037,1035,10,9,3,16,10,NA,0,6,"Rain",340
2011-01-23,"2011-1-23",8,7,6,5,4,4,93,86,81,1035,1034,1033,10,10,6,16,13,39,0,5,"Rain",359
2011-01-24,"2011-1-24",7,6,4,5,3,1,93,83,66,1033,1030,1025,10,9,6,16,13,NA,0,4,"Rain",317
2011-01-25,"2011-1-25",8,6,4,6,4,2,93,85,81,1024,1017,1010,10,10,5,23,14,NA,0,6,"Rain",261
